jones_plassman,4,100,79,0.03,1
largest_degree_first,4,100,79,0.033,1
smallest_degree_last,4,100,78,0.03,1

benchmark/manual/v1000.gra
greedy,0,1000,752,1.56,1
jones_plassman,1,1000,751,1.479,1
largest_degree_first,1,1000,751,1.565,1
smallest_degree_last,1,1000,751,1.787,1
jones_plassman,2,1000,754,1.786,1
largest_degree_first,2,1000,753,1.745,1
smallest_degree_last,2,1000,752,1.896,1
